,full_date,Event,Location,Latitude,Longitude
44,3/14/2024,Queens Public Library Tabling Event,"Queens Public Library at Flushing  41-17 Main Street, Flushing NY 11355",40.757971,-73.829118
45,3/18/2024,113 precinct Council Meeting,"Rochdale Community Center - 169-65 137th Ave, Queens, NY 11434",40.674088,-73.770908
46,3/19/2024,HLA- Career Day @Queens United Middle School 289,"229-02 137th Ave, Springfield Gardens, NY 11413",40.672718,-73.742876
47,3/20/2024,Community Board 12 General Meeting,"Hybrid Zoom & Robert Ross Family Life Center 172-17 Linden Blvd, Jamaica",40.692194,-73.777293
48,3/22/2024,BHALO Iftar Dinner,"Five Star Banquet Hall 13-05 43rd Avenue, Long Island City NY 11101",40.751013,-73.946086
49,3/23/2024,BAPA Iftar Dinner,"Joya Hall (Banquet Hall) located on 63-108 Woodhaven Blvd, Queens, NY 11374",40.721708,-73.867122
50,27,QDA Women's History Month,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.701806,-73.796002
51,3/27/2024,Richmond Hill Block Association Monthlty Meeting,110-08 Jamaica Avenue Richmond Hill NY 11418,40.696373,-73.837662
52,3/28/2024,Queens Public Library Tabling Event,"Queens Public Library Langston Hughes 100-01 Northern Blvd, Queens NY 11368",40.757526,-73.868213
53,3/30/2024,Jamaica Bangladesh Friends Association Ramadan Event,"7515 Woodside Ave, Elmhurst, NY 11373",40.743501,-73.889015
54,4/2/2024,102 Precinct Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
55,4/2/2024,107 Precinct Council Monthly Meeting,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365",40.738884,-73.790067
56,4/4/2024,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Blvd. Howard Beach 11414,40.651917,-73.83778
57,4/4/2024,Springfield Gardens (SprinGar) Civic Association,"The Springfiled Gardens Education Center |145-02 Farmers Boulevard, Jamaica NY 11434",40.666267,-73.767728
58,4/6/2024,Educational and Cultural Trust Fund of the Electrical Industry Scholarship Breakfast,Electrical Industry Center Auditorium 67-35 Parsons Boulevard Fresh Meadows 11365,40.733039,-73.810296
59,7,Dedication of Torah at Margaret Tietz,"164 Chapin Parkway, Jamaica Hills 11432",40.713952,-73.801531
60,4/9/2024,Community Board 14 Meeting,Knights of Columbus 333 Beach 90 Street in Rockaway Beach 11693,40.590692,-73.809749
61,12/9/2024,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
62,4/9/2024,Queens Public Library Tabling event Hunter point,"47-40 Center Blvd, Queens NY 11109",40.745243,-73.957961
63,4/9/2024,Woodside Houses Resident Association,"51-12 31st Avenue, East Elmhurst, NY",40.756843,-73.90765
64,4/10/2024,106th Precinct Community Council Meeting,106TH Precinct 103-53 101st  Ozone Park 11417,40.676415,-73.833824
65,10,Eid ul Fitr Prayer 2024//Jamaica Muslim Center,"Thomas A. Edison Career and Technical Education High School 165-65 84th ave, Queens NY 11432.",40.715946,-73.799125
66,11,Jacob Riis Settlement - Elder Fraud Presentation,"Jacob A. Riis Neighborhood Settlement (10-25 41st Ave, New York, NY  11101)",40.755448,-73.944638
67,4/11/2024,South Jamaica Houses Resident Association,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
68,4/12/2024,Florence E. Smith Senior Center - Housing & Worker Protection,"102-19 34th Avenue, Corona NY 11368",40.755905,-73.865749
69,4/13/2024,Bayside Little League Parade,"Bell Blvd and 43 Ave., Bayside",40.772911,-73.774537
70,4/14/2024,Queens Civic Congress Luncheon,Antun's 96-43 Springfield Blvd Queens Village 11429,40.717367,-73.73521
71,4/15/2024,113th Precinct Council Meeting,"203-12 Linden Boulevard, St. Albans 11412",40.6952,-73.748926
72,4/16/2024,GatewayJFK Public Safety Town Hall,"Jamaica Chamber of Commerce 157-11 Rockaway Boulevard Jamaica, NY 11434",40.666113,-73.779127
73,4/17/2024,100th Precinct Community Council Meeting,Knights of Columbus 330 Beach 90th Street Rockaway Beach 11693,40.590692,-73.809749
74,18,India Home Elder Fraud Presentation Satyanaran Mandir,"7515 Woodside Ave, Elmhurst, NY 11373",40.743501,-73.889015
75,4/23/2024,107 Precinct Council Monthly Meeting,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365",40.738884,-73.790067
76,4/24/2024,Richmond Hill Block Association Monthlty Meeting,110-08 Jamaica Avenue Richmond Hill NY 11418,40.696373,-73.837662
77,4/25/2024,Queens Public Library Tabling event Pomonok,"158-21 Jewel Avenue, Flushing NY 11365",40.732427,-73.809822
78,4/27/2024,Denim Day In Rockaway,Hammel's Park 84th Street and Rockaway Beach Blvd. 11693,40.589711,-73.805826
79,5/2/2024,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Blvd. Howard Beach 11414,40.651917,-73.83778
80,2,HANAC Ravenswood Senior Center,"34-35 12th St, Astoria, NY 11106",40.762745,-73.936927
81,5/3/2024,100 Suits: Job & Resource Fair,"6530 Kissena Boulevard, Flushing, NY 11354",40.735855,-73.815751
82,5/7/2024,102 Precinct Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
83,5/8/2024,106th Precinct Council Meeting,"106th Precinct 103-53 101st St, Ozone Park 11417",40.682172,-73.839852
84,5/8/2024,Queens Community House - Forest Hills Older Adult Center,"108-25 62nd Dr, New York, NY  11375",40.736161,-73.85015
85,5/9/2024,Hamilton Beach Civic Association Meeting,"Howard Beach Motor Boat Club 59 Russell Street, Hamilton Beach 11414",40.654238,-73.831998
86,5/9/2024,Queens Public Library Tabling event Maspeth,"69-70 Grand Avenue, Queens NY 11378",40.727087,-73.89314
87,5/9/2024,South Jamaica Houses Resident Association,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
88,5/10/2024,Florence E. Smith Senior Center: Elder Fraud Presentation,"102-19 34th Avenue, Corona NY 11368",40.755905,-73.865749
89,5/10/2024,India Home Motheres Day Celebration,178-36 Wexford Terrace Jamaica NY 11432,40.713219,-73.784251
90,5/13/2024,CM Ariola Presents Opera Night with the Queens Symphony Orchestra,Russo’s on the Bay  162-45 Cross Bay Blvd in Howard Beach,40.680313,-73.844456
91,13,Darool Ulm Masjid Visit,"150-15 Hillside Avenue, Jamaica NY 11432",40.706967,-73.805979
92,5/14/2024,103rd Precinct Community Council,"94-20 Guy R Brewer Blvd, Jamaica, NY 11451 - Room 1M07",40.701806,-73.796002
93,14,Community Board 14 Meeting,Knights of Columbus 330 Beach 90th Street in Rockaway Beach 11693,40.590692,-73.809749
94,12/14/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
95,5/15/2024,101 Precinct Council Meeting,"Church of God Christian Academy 1332 Central Ave, Far Rockaway, NY 11691",40.606941,-73.750054
96,5/15/2024,QDA ACRIS Workshop,"172-17 Linden Blvd, St. Albans, NY 11434",40.692321,-73.777581
97,5/16/2024,Community Board 3 Meeting,"Langston Hughes Library 100-01 Northern Blvd. Corona, NY 11368",40.757526,-73.868213
98,5/18/2024,Glow Cultural Center’s 4th AAPI May Concert & Community Resource Fair,"Glow Cultural Center 133-29 41st Avenue Flushing, NY 11355",40.757528,-73.831239
99,5/18/2024,Indonesian Culinary Enthusiasts Inc. & NY Indonesian Food Bazaar,Culture Lab LIC 5-25 46th Avenue LIC NY 11101,40.747264,-73.954181
100,2024--19,DAK visit to Saint Demetrios Greek Orthodox Church,84-35 152nd Street Jamaica NY 11432,40.713172,-73.807831
101,5/22/2024,India Home Elder Abuse Presentation,"Hindu Mandir 45-52 Kissena Blvd, Flushing NY 11355",40.750925,-73.819718
102,5/22/2024,Queens Public Library Tabling event Cambria,218-13 Linden Blvd Queens NY 11411,40.695619,-73.741196
103,25,Corona Memorial Day Ceremony,William F. Moore Park 107-06 Corona Avenue  Corona 11368,40.743443,-73.85583
104,5/26/2024,Bangladesh Day Parade,"69-87 Street, 37th Avenue, Jackson Heights NY 11372",40.751146,-73.882508
105,5/26/2024,Forest Hills Memorial Day Parade,American Legion Post 1424 107-15 Metropolitan Avenue Forest Hills 11375,40.723041,-73.843688
106,5/27/2024,Laurelton Memorial Day Parade Closing Ceremony,Veterans Memorial Triangle Park 225th Street and North Conduit Avenue Laurelton 11413,40.66627,-73.762275
107,5/27/2024,Rosedale Memorial Day Parade Opening Ceremony,"243rd Street, between Mayda Road and 145th Avenue Rosedale, 11422",40.677844,-73.728093
108,5/28/2024,107 PCT Council Monthly Meeting,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365",40.738884,-73.790067
109,5/29/2024,Richmond Hill Block Association Monthlty Meeting,110-08 Jamaica Avenue Richmond Hill NY 11418,40.696373,-73.837662
110,5/1/2024,Helen Marshall Family Day,"East Elmhurst, Queens NY",40.743511,-73.879724
111,5/1/2024,United Civic Assocation Health Fair,Newtown Road & 31st street Astoria NY,40.763117,-73.915148
112,6/2/2024,Bayside BID Food & Music Festival,"Bell Blvd, 35th Ave to Northern Blvd., Bayside",40.763117,-73.915148
113,6/4/2024,102 PCT Council Monthly Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
114,6/5/2024,Kew Gardens Community Center (Senior Center),"80-02 Kew Gardens Road, Suite 202 Kew Gardens NY 11416",40.713822,-73.831078
115,6,Community Board 10 Meeting,Old Mill Yacht Club 163-15 Cross Bay Blvd in Howard Beach 11414,40.651917,-73.83778
116,6/6/2024,Hilltop Cooperative #4 Annual Meeting,"Young Israel Holliswood, 8625 Francis Lewis Blvd, Jamaica NY 11427",40.725025,-73.764876
117,6/6/2024,Queens Public Library Career & Resource Fair,"Queens Public Libraray Flushing 41-17 Main Street, Flushing NY 11355",40.757971,-73.829118
118,6/6/2024,Queens Public Library Resource Fair Flushing,"Queens Public Library 41-17 Main St, Flushing, NY 11355",40.757971,-73.829118
119,6/6/2024,Springfield Gardens (SprinGar) Civic Association,"The Springfiled Gardens Education Center |145-02 Farmers Boulevard, Jamaica NY 11434",40.666267,-73.767728
120,2024-6-,CUNY Pridefest,"Queens college, Kew Garden Hills NY",40.707316,-73.82462
121,6/10/2024,Utopia Estates and Flushing Heights Civic Associations Meeting,Holy Family - Msgr Mahoney Hall 175-20 74th Avenue Fresh Meadows NY 11366,40.728974,-73.794154
122,6/11/2024,103 Precinct Community Council Meeting,"94-20 Guy R Brewer Blvd, Jamaica, NY 11451 - Room 1M07",40.701806,-73.796002
123,6/11/2024,Community Board 14 Meeting,Knights of Columbus 333 Rockaway Beach Boulevard  Rockaway Beach 11693,40.586081,-73.815817
124,12/11/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
125,6/11/2024,Woodside Houses Resident Association,"51-12 31st Avenue, East Elmhurst, NY",40.756843,-73.90765
126,6/12/2024,106th Precinct Council Meeting,"106TH Precinct 103-53 101st Street, Ozone Park 11417",40.682172,-73.839852
127,6/12/2024,COmmunity Board 12,RObert Ross jhnson Family ife Center 172-17 Linden Blvd St. ALbans 11412,40.692321,-73.777581
128,6/13/2024,Dr. Hubbard's Senior Event,Rochdale Village Senior Center  169-65 137th Ave 11434,40.674088,-73.770908
129,6/13/2024,Hamilton Beach Civic Association Meeting,Howard Beach Motor Boat Club 59 Russell Street Hamilton Beach 11414,40.654238,-73.831998
130,6/13/2024,Queens Public Library Mobile Office Tabling Event Howard Beach,"92-06 156 Avenue, Howard Beach NY 11414",40.663946,-73.84176
131,6/13/2024,South Jamaica Houses Resident Association,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433",40.693878,-73.79219
132,6/18/2024,115th Precinct Community Council Meeting,"115th Precinct 92-15 Northern Blvd, Jackson Heights 11372",40.751146,-73.882508
133,6/20/2024,Community Board 3 Meeting,"Travers Park 78th Street & 34th Avenue, Jackson Heights 11372",40.751146,-73.882508
134,6/20/2024,Maspeth Town Hall--Eileen Reilly's Retirement Celebration,"Maspeth Town Hall, 53-37 72 St., Maspeth 11378",40.730369,-73.892207
135,6/21/2024,Vietnam Veterans of America Luncheon,O'Neill's Restaurant 64-21 53rd Dr. Maspeth,40.728688,-73.900425
136,6/24/2024,BHALO mural unveiling,"169-01 Hillside Avenue, Jamaica NY 11432",40.710951,-73.7928
137,6/25/2024,107 PCT Council Monthly Meeting,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365",40.738884,-73.790067
138,6/25/2024,Howard Beach Lindenwood Civic Association Meeting,"St. Helens 157-10 83rd St, Howard Beach 11414",40.660812,-73.850381
139,6/25/2024,Jamaica Estates Association Membership Meeting,"Albanian Orthodox Church 181-14 Midland Parkway, Jamaica Estates NY",40.721472,-73.784432
140,6/26/2024,101 Precinct Community Council Meeting,"Church of God Christian Academy 1332 Central Ave, Far Rockaway, NY 11691",40.606941,-73.750054
141,6/26/2024,105 Precinct Community Council Meeting,"105 Precinct - 92-08 222 Street Queens Village, NY 11428",40.720639,-73.742099
142,6/26/2024,Elder Housing & Financial Abuse Prevention Presentation at Raices Corona Older Adult Center,"Raices Corona Older Adult Center 107-24 Corona Ave., Corona 11368",40.743312,-73.85545
143,6/27/2024,Queens Public Library Mobile Office Tabling Event Whitestone,"151-10 14 Road, Whitestone NY 11357",40.788608,-73.810692
144,7/11/2024,Queens Public Library Mobile Office Tabling Event Peninsula,"92-25 Rockaway Beach Blvd, Rockaway Beach NY 11693",40.585941,-73.816131
145,7/11/2024,Visit to the 100th Precinct,"100th Precinct 92-24 Rockaway Beach Blvd., Rockway Beach 11693",40.602636,-73.819273
146,7/12/2024,QPL Flyer Drop off,"43-06 Greenpoint Avenue, Long Island City NY 11104",40.740903,-73.9217
147,7/16/2024,Meet and Greet with Forest Hills Stadium Leadership and Community engagement team,"Forest Hills Stadium 1 Tennis Pl, Forest Hills, NY 11375",40.723041,-73.843688
148,7/18/2024,Queens Public Library Mobile Office Tabling Event Sunnyside,"43-06 Greenpoint Avenue, Long Island City NY 11104",40.740903,-73.9217
149,7/18/2024,QUEENS UNITED PRECINCTS C3 INTERFAITH CLERGY COLLECTIVE SUMMIT,"115-50 Merrick Blvd Jamaica, Queens 11434.",40.688551,-73.777108
150,7/27/2024,Elmcor Annual Summer Block Party,"107-20 Northern Blvd. Corona, NY",40.757645,-73.861678
151,7/31/2024,PBQS Annual Harmony Picnic,Roy Wilkins Park 177-01 Baisley Blvd. Queens NY 11434,40.686728,-73.768833
152,8/6/2024,NNO 101,"O'Donohue Park Beach 17th St & The Boardwalk Far Rockaway, NY 11691",40.601475,-73.76191
153,8/6/2024,NNO 105,Queens County Farm Museum 73-50 Little Neck Pkwy,40.770508,-73.752539
154,8/6/2024,NNO 111,"Douglaston Shopping Center (Roof of Food Bazaar) 242-02 61st Avenue Little Neck, NY 11362",40.755304,-73.738272
155,8/6/2024,NNO 112,Rain location: Forest Hills Jewish Center; 106-06 Queens Blvd,40.746825,-73.938986
156,8/6/2024,NNO 113,"Baisley Pond Park 156-10 Baisley Blvd, Queens, NY 11434 Directly across from August Martin H.S.",40.746825,-73.938986
157,8/6/2024,NNO 114,"Astoria Park (On the Great Lawn) Shore Blvd. btwn. Ditmars Blvd. & Astoria Park South Astoria, NY 11105",40.776468,-73.908761
158,8/6/2024,PSA 9,"HANAC (Astoria Basketball Court) 4-05 Astoria Blvd. Long Island City, NY 11102",40.773266,-73.933729
159,8/7/2024,Senator Sanders Scams and Frauds event,"Rosedale Library 144-20 243rd St, Rosedale, NY 11422",40.659923,-73.739824
160,8/8/2024,Queens Public Library Mobile Office Tabling Event Astoria,"14-01 Astoria Blvd, Queens, NY 11102",40.772321,-73.928697
161,8/15/2024,India Home Desi Senior Center Fraud Presentation,Desi Senior Center 85-37 JMC Way NY 11432.,40.714531,-73.794435
162,18,PBQ Rakhi Day,Shree Ganesh Temple Community Center 143-09 Holly Avenue Flushing NY 11355,40.752711,-73.816184
163,8/20/2024,Elder Abuse Presentation at Angelo Petromelis College Point Senior Center,"13-28 123rd St, College Point, NY 11356",40.785785,-73.844947
164,2024-8-,Queens Public Library Mobile Office Tabling Event Glendale,"78-60 73rd Pl, Queens, NY 11385",40.702589,-73.875714
165,9/4/2024,Queens Public Library Mobile Office Tabling Event Douglaston,"249-01 Northern Blvd, Queens, NY 11363",40.765466,-73.743034
166,12/10/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
167,2024-9-,Queens Public Library Mobile Office Tabling Event Bellerose,"250-6 Hillside Ave., Queens, NY 11426",40.73527,-73.717142
168,12/8/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
169,10/15/2024,Queens Public Library Annual Health Fair,"Central Library 89-11 Merrick Blvd, Jamaica NY 11432",40.707651,-73.795027
170,12/12/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
171,12/10/2023,Community Board 4 Meeting,"79-01 Broadway, Queens, NY 11373, USA",40.744586,-73.886173
172,1/3/2023,104 Precinct Community Council Meeting,"60-02 Maspeth Ave., Maspeth",40.722911,-73.905574
173,1/3/2023,102 PCT Council Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
174,1/5/2023,Comunity Board 10 Monthly Meeting,Old Mill Yacht Club 163-15 Cross Bay Blvd Howard Beach 11414,40.651917,-73.83778
175,1/5/2023,Local 15 Membership meeting,"Local 15 Training Center 160-50 Lefferts Blvd, South Ozone Park",40.658451,-73.824252
176,1/10/2023,Community Board 14 Monthly Meeting,Knights of Columbus 333 Beach 90th Street Rockaway Beach NY 11694,40.57661,-73.84276
177,1/11/2023,106th Precinct Council Meeting,106TH Precinct 103-53 101 Street Ozone Park 11417,40.676415,-73.833824
178,1/11/2023,109th Precinct Council Meeting,"POPPENHUSEN INSTITUTE 114-04 14TH ROAD COLLEGE POINT, NY",40.784656,-73.852299
179,1/11/2023,Commuity Board 6 Monthly Meeting,Helen Marshall Cultural Center- Borough Hall 1230-55 Queens Blvd.,40.746825,-73.938986
180,1/14/2023,Vietnam Veterans of America Chapter 32 Member Recognition Luncheon,"O'Neill's 64-21 53rd Dr.  Maspeth, NY",40.728688,-73.900425
181,1/14/2023,"Celebration Event for Honorable Elmer H. Blackburne and Honorable Laura Blackburne, Esq","Antun's - 96-43 Springfield Blvd, Queens Village NY",40.717928,-73.735365
182,1/14/2023,San Kiang Charitable Association Lunar New Year Celebration,"136-20 Roosevelt Ave, Flushing",40.760151,-73.827795
183,1/16/2023,113 Precinct Council Meeting,Zoom - Meeting ID: 874 3039 8771 Passcode: 626492,40.760151,-73.827795
184,1/16/2023,Senator LeRoy Comrie MLK Event,"Jamaica Performing Arts Ceter, 153-10 Jamaica Avenue NY 111432",40.70334,-73.800201
185,1/17/2023,115th Precinct Community Council Meeting,"115th Precinct 92-15 Northern Blvd, Queens, NY 11372",40.751146,-73.882508
186,1/18/2023,QDA Lunar New Year Celebration,"Queens Commuity College 222-05 56th Ave, Queens, NY 11364",40.755787,-73.756818
187,1/18/2023,PS 203Q Lunar New Year Celebration,53-11 Springfield Rd,40.660126,-73.760445
188,1/19/2023,Community Board 3 General Meeting,"Langston Hughes Library 100-01 Northern Blvd, Queens, NY 11368",40.757526,-73.868213
189,1/19/2023,NAACP Virtual Meeting - Far Rockaway Branch,Zoom Zoom ID: 822 7830 7832  Passcode 600834  Dial-In  1 646 558 8656,40.757526,-73.868213
190,1/21/2023,United American Hindu Leadership Council,"Tulsi Mandir, 103-24, 111 Street, Richmond Hill NY 11419",40.685252,-73.83151
191,1/22/2023,NYPD Desi Society Meeting,"257-05 Union Tpke, Queens, NY 11004",40.746013,-73.714315
192,1/24/2023,114th Precinct Community Council Meeting,"25-22 Astoria Blvd, Astoria, NY 11102",40.771006,-73.922089
193,1/25/2023,105 Precinct Community Council,"105 PCT  92-08 222nd St, Queens, NY 11428",40.726301,-73.734551
194,1/25/2023,PSA Precinct Community Council Meeting,"Ravenswood Community Center - 35-40 21st Street, Astoria, NY 11106",40.760486,-73.936701
195,2023-1-,Meeting with Elder Fraud Anna Dao and Antara Kanth,"80-02, Kew Gardens Road",40.711757,-73.828899
196,1/31/2023,Rosedale Civic Association Meeting,"Village fellowship Worship Center - 247-11 Francis Lewis Bld, Rosedale NY 11422",40.659418,-73.736866
197,1/31/2023,World Journal Newspaper visit,"141-07 20th Ave, Queens, NY 11357",40.781988,-73.827358
198,1/31/2023,108th Precinct Council Meeting,"Sunnyside Senior Center  43-31 39th St, Queens, NY 11104",40.744953,-73.9258
199,2/2/2023,China Press Newpaper visit,125-01 Queens Blvd. Kew Gardens NY,40.71203,-73.825374
200,2/6/2023,Sunnyside Senior Center,"43-31 39th St, Queens, NY 11104",40.744953,-73.9258
201,2/7/2023,102 PCT Council Meeting,One Stop Richmond Hill Community Center 110-08 Jamaica Avenue Richmond Hill NY 11418..,40.696373,-73.837662
202,2/8/2023,109 Precinct Community Council,Bowne Street Community Church - 143-11 Roosevelt Avenue.,40.601299,-73.745267
203,2/10/2023,FCBA Annual Fundraising event,"52-11 111th St., Queens, NY 11368",40.74422,-73.850816
204,2/15/2023,101 Precinct Council Meeting,"Church of God Christian Academy 1332 Central Ave, Far Rockaway, NY 11691",40.606941,-73.750054
205,2/15/2023,Community Board 14 Meeting,"Knights of Columbus 333 Beach 90 Street Rockaway Beach, NY 11694",40.57661,-73.84276
206,2/20/2023,Jamacia Estate Association Townhall meeting,"18114 Midland Pkwy, Queens, NY 11432",40.720458,-73.784541
207,2/21/2023,115th Precinct Community Council,"115th Precinct 92-15 Northern Blvd, Queens, NY 11372",40.751146,-73.882508
