,index,full_date,Date,Month,Week #,Day,Year,Event,Staff Supervisor,Event Coordinator,DA Speaking?,Time,Briefing,Location,Location_Parse,location_parse,address_string,zip,county,state,city,Latitude,Longitude,Accuracy Score,County,Source,review,is_zoom,Manually Add Address,dedupe_mask,is_zoom_v2,is_blank,lat_long_gmaps
18,18,12/9/2024,9-Jan,12,51,Tues,2024,Community Board 4 Meeting,Javier,Community Board 4,NO,7:00 PM,No,"79-01 Broadway, Queens, NY 11373, USA","[('79-01', 'AddressNumber'), ('Broadway,', 'StreetName'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11373,', 'ZipCode'), ('USA', 'CountryName')]","[('79-01', 'AddressNumber'), ('Broadway,', 'StreetName'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11373,', 'ZipCode'), ('USA', 'CountryName')]",79-01 Broadway  Queens,11373,Queens,New York,New York City,40.744586,-73.886173,1,Queens County,City of New York,No Review Needed,FALSE,,JavierCommunity Board 4Jan-097:00 PM,FALSE,FALSE,
19,19,1/9/2024,9-Jan,1,2,Tue,2024,Community Board 9 Monthly Meeting,Rokeya,Community Board 9,NO,7:00 PM,No,Virtual Meeting,"[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]","[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,RokeyaCommunity Board 9Jan-097:00 PM,TRUE,FALSE,
21,21,2025-13-9,9-Jan,13,52,Tues,2025,Community Board 4 Meeting,Javier,Community Board 14,NO,7:00 PM,No,"79-01 Broadway, Queens, NY 11373, USA","[('79-01', 'AddressNumber'), ('Broadway,', 'StreetName'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11373,', 'ZipCode'), ('USA', 'CountryName')]","[('79-01', 'AddressNumber'), ('Broadway,', 'StreetName'), ('Queens,', 'PlaceName'), ('NY', 'StateName'), ('11373,', 'ZipCode'), ('USA', 'CountryName')]",79-01 Broadway  Queens,11373,Queens,New York,New York City,40.744586,-73.886173,1,Queens County,City of New York,No Review Needed,FALSE,,JavierCommunity Board 14Jan-097:00 PM,FALSE,FALSE,
22,22,1/9/2024,9-Jan,1,2,Tue,2024,Community Board 9 Monthly Meeting,Rokeya,Community Board 19,NO,7:00 PM,No,Virtual Meeting,"[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]","[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,RokeyaCommunity Board 19Jan-097:00 PM,TRUE,FALSE,
23,23,1/10/2024,10-Jan,1,2,Wed,2024,Community Board 13  Public Safety Committee Meeing,Shana,Mohamood Ishmael,NO,7:00 PM,no,Virtual Meeting,"[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]","[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaMohamood IshmaelJan-107:00 PM,TRUE,FALSE,
24,24,1/10/2024,10-Jan,1,2,Wed,2024,Community Board 5 Meeting,Kate,Gary Giordano,NO,7:30 PM,NO,"6802 Metropolitan Ave., Middle Village","[('6802', 'AddressNumber'), ('Metropolitan', 'StreetName'), ('Ave.,', 'StreetNamePostType'), ('Middle', 'PlaceName'), ('Village', 'PlaceName')]","[('6802', 'AddressNumber'), ('Metropolitan', 'StreetName'), ('Ave.,', 'StreetNamePostType'), ('Middle', 'PlaceName'), ('Village', 'PlaceName')]",6802 Metropolitan Ave. Middle Village,,Queens,New York,New York City,40.71079,-73.8883534,0.5,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,KateGary GiordanoJan-107:30 PM,FALSE,FALSE,"[40.71079, -73.8883534]"
25,25,1/10/2024,10-Jan,1,2,Wed,2024,Community Board 6 Meeting,Javier,Heather Beers,NO,7:00 PM,No,Queens Borough Hall Room 213,"[('Queens', 'Recipient'), ('Borough', 'Recipient'), ('Hall', 'Recipient'), ('Room', 'OccupancyType'), ('213', 'OccupancyIdentifier')]","[('Queens', 'Recipient'), ('Borough', 'Recipient'), ('Hall', 'Recipient'), ('Room', 'OccupancyType'), ('213', 'OccupancyIdentifier')]",,,Queens,New York,New York City,40.7137004,-73.8281571,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,JavierHeather BeersJan-107:00 PM,FALSE,FALSE,"[40.7137004, -73.8281571]"
26,26,1/10/2024,10-Jan,1,2,Wed,2024,Community Board 8 Monthly Meeting,Rokeya,Community Board 8,NO,7:00 PM,No,Hillcrest Jewish Center 183-02 Union Turnpike in Fresh Meadows,"[('Hillcrest', 'BuildingName'), ('Jewish', 'BuildingName'), ('Center', 'BuildingName'), ('183-02', 'BuildingName'), ('Union', 'BuildingName'), ('Turnpike', 'BuildingName'), ('in', 'BuildingName'), ('Fresh', 'BuildingName'), ('Meadows', 'BuildingName')]","[('Hillcrest', 'BuildingName'), ('Jewish', 'BuildingName'), ('Center', 'BuildingName'), ('183-02', 'BuildingName'), ('Union', 'BuildingName'), ('Turnpike', 'BuildingName'), ('in', 'BuildingName'), ('Fresh', 'BuildingName'), ('Meadows', 'BuildingName')]",,,Queens,New York,New York City,40.7277029,-73.7851235,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,RokeyaCommunity Board 8Jan 107:00 PM,FALSE,FALSE,"[40.7277029, -73.7851235]"
29,29,1/11/2024,11-Jan,1,2,Thu,2024,110th Precinct Community Council Meeting,Javier,Al Perna,NO,7:00 PM,No,"VFW in Corona, 511 108th St. Corona NY","[('VFW', 'Recipient'), ('in', 'Recipient'), ('Corona,', 'Recipient'), ('511', 'AddressNumber'), ('108th', 'StreetName'), ('St.', 'StreetNamePostType'), ('Corona', 'PlaceName'), ('NY', 'StateName')]","[('VFW', 'Recipient'), ('in', 'Recipient'), ('Corona,', 'Recipient'), ('511', 'AddressNumber'), ('108th', 'StreetName'), ('St.', 'StreetNamePostType'), ('Corona', 'PlaceName'), ('NY', 'StateName')]",511 108th St. Corona,,Queens,New York,New York City,40.7437945,-73.8551959,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,JavierAl PernaJan-117:00 PM,FALSE,FALSE,"[40.7437945, -73.8551959]"
30,30,1/11/2024,11-Jan,1,2,Thu,2024,Cambria Heights Civc Association,Shana,Bryan Block,NO,7:00 PM,no,Virtual,"[('Virtual', 'PlaceName')]","[('Virtual', 'PlaceName')]",Virtual,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaBryan BlockJan-117:00 PM,TRUE,FALSE,
31,31,1/11/2024,11-Jan,1,2,Thu,2024,South Jamaica Houses Resident Association,Marlon,Manny Martinez,NO,6:30 PM,No,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433","[('South', 'Recipient'), ('Jamaica', 'Recipient'), ('Houses', 'Recipient'), ('109-04', 'AddressNumber'), ('160th', 'StreetName'), ('Street', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11433', 'ZipCode')]","[('South', 'Recipient'), ('Jamaica', 'Recipient'), ('Houses', 'Recipient'), ('109-04', 'AddressNumber'), ('160th', 'StreetName'), ('Street', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11433', 'ZipCode')]",109-04 160th Street Jamaica,11433,Queens,New York,New York City,40.693878,-73.79219,1,Queens County,City of New York,No Review Needed,FALSE,,MarlonManny MartinezJan-116:30 PM,FALSE,FALSE,
32,32,1/15/2024,15-Jan,1,3,Mon,2024,113th Precinct Council Meeting,Shana,Patricia Wooten,NO,7:00 PM,No,Rochdale Village Community Center,"[('Rochdale', 'BuildingName'), ('Village', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName')]","[('Rochdale', 'BuildingName'), ('Village', 'BuildingName'), ('Community', 'BuildingName'), ('Center', 'BuildingName')]",,,Queens,New York,New York City,40.6768746,-73.7727908,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaPatricia WootenJan-157:00 PM,FALSE,FALSE,"[40.6768746, -73.7727908]"
33,33,1/15/2024,15-Jan,1,3,Mon,2024,"Living the Dream, It Starts with Me",Shana,Ari Innis,YES,1:00 PM,Yes,Jamaica Perfoming arts Center 153-10Jamaica ave,"[('Jamaica', 'BuildingName'), ('Perfoming', 'BuildingName'), ('arts', 'BuildingName'), ('Center', 'BuildingName'), ('153-10Jamaica', 'BuildingName'), ('ave', 'BuildingName')]","[('Jamaica', 'BuildingName'), ('Perfoming', 'BuildingName'), ('arts', 'BuildingName'), ('Center', 'BuildingName'), ('153-10Jamaica', 'BuildingName'), ('ave', 'BuildingName')]",,,Queens,New York,New York City,40.7023506,-73.8016052,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaAri InnisJan-151:00 PM,FALSE,FALSE,"[40.7023506, -73.8016052]"
34,34,1/20/2024,20-Jan,1,3,Sat,2024,San Kiang Charitable Association Banquet Dinner,Dan,Rong Bao,YES,7:00 PM,Dan,Royal Queens Resraurant 136-20 Roosevelt Avenue in Flushing,"[('Royal', 'Recipient'), ('Queens', 'Recipient'), ('Resraurant', 'Recipient'), ('136-20', 'Recipient'), ('Roosevelt', 'Recipient'), ('Avenue', 'Recipient'), ('in', 'Recipient'), ('Flushing', 'Recipient')]","[('Royal', 'Recipient'), ('Queens', 'Recipient'), ('Resraurant', 'Recipient'), ('136-20', 'Recipient'), ('Roosevelt', 'Recipient'), ('Avenue', 'Recipient'), ('in', 'Recipient'), ('Flushing', 'Recipient')]",,,Queens,New York,New York City,40.7594017,-73.8291601,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanRong BaoJan-207:00 PM,FALSE,FALSE,"[40.7594017, -73.8291601]"
35,35,1/21/2024,21-Jan,1,3,Sun,2024,Gandhi Statue unvailing at The Shri Tulsi Mandir,Rokeya,Pt. Lakhram,NO,1:00 PM,No,"The Shri Tulsi Mandir 103-26 111 Street, Richmond Hill, NY 11419","[('The', 'Recipient'), ('Shri', 'Recipient'), ('Tulsi', 'Recipient'), ('Mandir', 'Recipient'), ('103-26', 'AddressNumber'), ('111', 'StreetName'), ('Street,', 'StreetNamePostType'), ('Richmond', 'PlaceName'), ('Hill,', 'PlaceName'), ('NY', 'StateName'), ('11419', 'ZipCode')]","[('The', 'Recipient'), ('Shri', 'Recipient'), ('Tulsi', 'Recipient'), ('Mandir', 'Recipient'), ('103-26', 'AddressNumber'), ('111', 'StreetName'), ('Street,', 'StreetNamePostType'), ('Richmond', 'PlaceName'), ('Hill,', 'PlaceName'), ('NY', 'StateName'), ('11419', 'ZipCode')]",103-26 111 Street Richmond Hill,11419,Queens,New York,New York City,40.685715,-73.831418,0.9,Queens County,City of New York,No Review Needed,FALSE,,RokeyaPt. LakhramJan-211:00 PM,FALSE,FALSE,
36,36,1/23/2024,23-Jan,1,4,Tue,2024,107 Precinct Council Monthly Meeting,Rokeya,107 precinct,NO,7:00 PM,No,"107 Precinct - 71-01 Parsons Blvd , Fresh Meadows NY 11365","[('107', 'AddressNumber'), ('Precinct', 'StreetName'), ('71-01', 'StreetName'), ('Parsons', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]","[('107', 'AddressNumber'), ('Precinct', 'StreetName'), ('71-01', 'StreetName'), ('Parsons', 'StreetName'), ('Blvd', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]",107 Precinct 71-01 Parsons Blvd Fresh Meadows,11365,Queens,New York,New York City,40.738884,-73.790067,0.5,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,Rokeya107 precinctJan-237:00 PM,FALSE,FALSE,
37,37,1/23/2024,23-Jan,1,4,Tue,2024,114th Community Precicnt Council Meeting,Javier,Ann Bruno,NO,7:00 PM,No,Astoria World Manor,"[('Astoria', 'BuildingName'), ('World', 'BuildingName'), ('Manor', 'BuildingName')]","[('Astoria', 'BuildingName'), ('World', 'BuildingName'), ('Manor', 'BuildingName')]",,,Queens,New York,New York City,40.7709,-73.9223,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,JavierAnn BrunoJan-237:00 PM,FALSE,FALSE,"[40.7709, -73.92229999999999]"
38,38,1/23/2024,23-Jan,1,4,Tue,2024,Peter Cadella Senior Center,Marlon,Barbara Toscano,YES,12:00 PM,Marlon,"Peter Cardella Senior Center 68-52 Fresh Pond Road, Ridgewood, NY 11385","[('Peter', 'BuildingName'), ('Cardella', 'BuildingName'), ('Senior', 'BuildingName'), ('Center', 'BuildingName'), ('68-52', 'AddressNumber'), ('Fresh', 'StreetName'), ('Pond', 'StreetName'), ('Road,', 'StreetNamePostType'), ('Ridgewood,', 'PlaceName'), ('NY', 'StateName'), ('11385', 'ZipCode')]","[('Peter', 'BuildingName'), ('Cardella', 'BuildingName'), ('Senior', 'BuildingName'), ('Center', 'BuildingName'), ('68-52', 'AddressNumber'), ('Fresh', 'StreetName'), ('Pond', 'StreetName'), ('Road,', 'StreetNamePostType'), ('Ridgewood,', 'PlaceName'), ('NY', 'StateName'), ('11385', 'ZipCode')]",68-52 Fresh Pond Road Ridgewood,11385,Queens,New York,New York City,40.70367,-73.895864,1,Queens County,City of New York,No Review Needed,FALSE,,MarlonBarbara ToscanoJan-2312:00 PM,FALSE,FALSE,
39,39,1/23/2024,23-Jan,1,4,Tue,2024,Springfield Taxpayers,Shana,Ms. Foster,NO,7:00 PM,no,Virtual Meeting,"[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]","[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaMs. FosterJan-237:00 PM,TRUE,FALSE,
40,40,1/24/2024,24-Jan,1,4,Wed,2024,Induction of Judge Evelyn Gong,Kate,Luna Fu,YES,4:00 PM,Kate,"89-17 Sutphin Blvd., Jamaica 11435","[('89-17', 'AddressNumber'), ('Sutphin', 'StreetName'), ('Blvd.,', 'StreetNamePostType'), ('Jamaica', 'PlaceName'), ('11435', 'ZipCode')]","[('89-17', 'AddressNumber'), ('Sutphin', 'StreetName'), ('Blvd.,', 'StreetNamePostType'), ('Jamaica', 'PlaceName'), ('11435', 'ZipCode')]",89-17 Sutphin Blvd. Jamaica,11435,Queens,New York,New York City,40.703551,-73.808221,1,Queens County,City of New York,No Review Needed,FALSE,,KateLuna FuJan-244:00 PM,FALSE,FALSE,
41,41,1/24/2024,24-Jan,1,4,Wed,2024,PSA 9 Precinct Community Council Meeting,Marlon,Rasheedah Jennings,NO,7:00 PM,No`,"South Jamaica Houses - 109-04 160th Street Jamaica, NY 11433","[('South', 'Recipient'), ('Jamaica', 'Recipient'), ('Houses', 'Recipient'), ('109-04', 'AddressNumber'), ('160th', 'StreetName'), ('Street', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11433', 'ZipCode')]","[('South', 'Recipient'), ('Jamaica', 'Recipient'), ('Houses', 'Recipient'), ('109-04', 'AddressNumber'), ('160th', 'StreetName'), ('Street', 'StreetNamePostType'), ('Jamaica,', 'PlaceName'), ('NY', 'StateName'), ('11433', 'ZipCode')]",109-04 160th Street Jamaica,11433,Queens,New York,New York City,40.693878,-73.79219,1,Queens County,City of New York,No Review Needed,FALSE,,MarlonRasheedah JenningsJan-247:00 PM,FALSE,FALSE,
42,42,1/24/2024,24-Jan,1,4,Wed,2024,Tabling event Queens Public Library Fresh Meadows,Rokeya,Luisa Benedetto,NO,2:30 PM,,"193-20 Horace Harding Expy, Fresh Meadows NY 11365","[('193-20', 'AddressNumber'), ('Horace', 'StreetName'), ('Harding', 'StreetName'), ('Expy,', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]","[('193-20', 'AddressNumber'), ('Horace', 'StreetName'), ('Harding', 'StreetName'), ('Expy,', 'StreetNamePostType'), ('Fresh', 'PlaceName'), ('Meadows', 'PlaceName'), ('NY', 'StateName'), ('11365', 'ZipCode')]",193-20 Horace Harding Expy Fresh Meadows,11365,Queens,New York,New York City,40.741659,-73.782346,1,Queens County,City of New York,No Review Needed,FALSE,,RokeyaLuisa BenedettoJan-242:30 PM,FALSE,FALSE,
43,43,1/26/2024,26-Jan,1,4,Fri,2024,Baisley Park Houses Resident Association Meeting,Marlon,April Hawkins,NO,6:00 PM,No,"164-01 Foch Boulevard, Apt 1G","[('164-01', 'AddressNumber'), ('Foch', 'StreetName'), ('Boulevard,', 'StreetNamePostType'), ('Apt', 'OccupancyType'), ('1G', 'OccupancyIdentifier')]","[('164-01', 'AddressNumber'), ('Foch', 'StreetName'), ('Boulevard,', 'StreetNamePostType'), ('Apt', 'OccupancyType'), ('1G', 'OccupancyIdentifier')]",164-01 Foch Boulevard,,Queens,New York,New York City,40.68501029999999,-73.7822359,0.5,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,MarlonApril HawkinsJan-266:00 PM,FALSE,FALSE,"[40.68501029999999, -73.7822359]"
44,44,1/29/2024,29-Jan,1,5,Mon,2024,Community Board 13 General Board meeting,Shana,Mark McMillan,NO,7:00 PM,NO,Virtual Meeting,"[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]","[('Virtual', 'Recipient'), ('Meeting', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ShanaMark McMillanJan-297:00 PM,TRUE,FALSE,
